"group"	"pre_se"	"post_se"	"standardized_residuals"	"studentized_residuals"	"cooks_distance"	"dfbeta.(Intercept)"	"dfbeta.groupB"	"dfbeta.groupC"	"dfbeta.groupD"	"dfbeta.pre_se"	"dffit"	"leverage"	"covariance_ratios"
"A"	-1.05	4	-0.01867397	-0.01865032	8.770582e-07	-2.223164e-04	 2.237673e-04	 2.252182e-04	 2.203818e-04	 4.836406e-05	-0.002091457	0.01241932	1.0254863
"A"	 0.95	5	 0.70290525	 0.70245440	1.161686e-03	 8.199377e-03	-8.154711e-03	-8.110045e-03	-8.258932e-03	 1.488871e-03	 0.076164159	0.01161955	1.0182687
"A"	 1.95	5	 0.63572363	 0.63524346	1.416093e-03	 7.361774e-03	-7.276249e-03	-7.190724e-03	-7.475808e-03	 2.850842e-03	 0.084081933	0.01721798	1.0252370
"A"	 0.95	5	 0.70290525	 0.70245440	1.161686e-03	 8.199377e-03	-8.154711e-03	-8.110045e-03	-8.258932e-03	 1.488871e-03	 0.076164159	0.01161955	1.0182687
"A"	-0.05	6	 1.63011228	 1.63355147	5.379056e-03	 1.919153e-02	-1.920303e-02	-1.921453e-02	-1.917620e-02	-3.833400e-04	 0.164343810	0.01001999	0.9890552
"A"	 0.95	3	-1.01617659	-1.01621865	2.427915e-03	-1.185368e-02	 1.178911e-02	 1.172454e-02	 1.193978e-02	-2.152432e-03	-0.110184290	0.01161955	1.0113375
"A"	-0.05	3	-0.94642644	-0.94630122	1.813196e-03	-1.114241e-02	 1.114908e-02	 1.115576e-02	 1.113350e-02	 2.225632e-04	-0.095202846	0.01001999	1.0114588
"A"	 0.95	6	 1.56244617	 1.56531172	5.739911e-03	 1.822591e-02	-1.812662e-02	-1.802733e-02	-1.835829e-02	 3.309522e-03	 0.169720129	0.01161955	0.9933862
"A"	-1.05	4	-0.01867397	-0.01865032	8.770582e-07	-2.223164e-04	 2.237673e-04	 2.252182e-04	 2.203818e-04	 4.836406e-05	-0.002091457	0.01241932	1.0254863
"A"	-1.05	4	-0.01867397	-0.01865032	8.770582e-07	-2.223164e-04	 2.237673e-04	 2.252182e-04	 2.203818e-04	 4.836406e-05	-0.002091457	0.01241932	1.0254863
"A"	-1.05	6	 1.70110382	 1.70520678	7.278082e-03	 2.025190e-02	-2.038407e-02	-2.051624e-02	-2.007567e-02	-4.405721e-03	 0.191222817	0.01241932	0.9884737
"A"	-2.05	4	 0.05050245	 0.05043865	9.782904e-06	 6.091611e-04	-6.166766e-04	-6.241921e-04	-5.991405e-04	-2.505167e-04	 0.006985055	0.01881753	1.0321447
"A"	-1.05	4	-0.01867397	-0.01865032	8.770582e-07	-2.223164e-04	 2.237673e-04	 2.252182e-04	 2.203818e-04	 4.836406e-05	-0.002091457	0.01241932	1.0254863
"A"	-0.05	5	 0.77126604	 0.77086980	1.204147e-03	 9.080219e-03	-9.085660e-03	-9.091101e-03	-9.072964e-03	-1.813722e-04	 0.077553528	0.01001999	1.0153256
"A"	 0.95	5	 0.70290525	 0.70245440	1.161686e-03	 8.199377e-03	-8.154711e-03	-8.110045e-03	-8.258932e-03	 1.488871e-03	 0.076164159	0.01161955	1.0182687
"A"	 2.95	6	 1.43555505	 1.43749153	1.135683e-02	 1.653547e-02	-1.623924e-02	-1.594302e-02	-1.693043e-02	 9.874156e-03	 0.238615647	0.02681529	1.0137954
"A"	-1.05	4	-0.01867397	-0.01865032	8.770582e-07	-2.223164e-04	 2.237673e-04	 2.252182e-04	 2.203818e-04	 4.836406e-05	-0.002091457	0.01241932	1.0254863
"A"	-0.05	2	-1.80527268	-1.81047033	6.597155e-03	-2.125372e-02	 2.126645e-02	 2.127919e-02	 2.123674e-02	 4.245310e-04	-0.182142771	0.01001999	0.9814938
"A"	-0.05	3	-0.94642644	-0.94630122	1.813196e-03	-1.114241e-02	 1.114908e-02	 1.115576e-02	 1.113350e-02	 2.225632e-04	-0.095202846	0.01001999	1.0114588
"A"	 0.95	3	-1.01617659	-1.01621865	2.427915e-03	-1.185368e-02	 1.178911e-02	 1.172454e-02	 1.193978e-02	-2.152432e-03	-0.110184290	0.01161955	1.0113375
"A"	-0.05	4	-0.08758020	-0.08747012	1.552683e-05	-1.031093e-03	 1.031711e-03	 1.032329e-03	 1.030270e-03	 2.059551e-05	-0.008799951	0.01001999	1.0229061
"A"	-0.05	4	-0.08758020	-0.08747012	1.552683e-05	-1.031093e-03	 1.031711e-03	 1.032329e-03	 1.030270e-03	 2.059551e-05	-0.008799951	0.01001999	1.0229061
"A"	-1.05	3	-0.87856286	-0.87830862	1.941337e-03	-1.045942e-02	 1.052769e-02	 1.059595e-02	 1.036841e-02	 2.275407e-03	-0.098494008	0.01241932	1.0155103
"A"	-0.05	3	-0.94642644	-0.94630122	1.813196e-03	-1.114241e-02	 1.114908e-02	 1.115576e-02	 1.113350e-02	 2.225632e-04	-0.095202846	0.01001999	1.0114588
"A"	 0.95	4	-0.15663567	-0.15644213	5.768679e-05	-1.827152e-03	 1.817199e-03	 1.807245e-03	 1.840423e-03	-3.317805e-04	-0.016962358	0.01161955	1.0243428
"A"	-1.05	4	-0.01867397	-0.01865032	8.770582e-07	-2.223164e-04	 2.237673e-04	 2.252182e-04	 2.203818e-04	 4.836406e-05	-0.002091457	0.01241932	1.0254863
"A"	-0.05	5	 0.77126604	 0.77086980	1.204147e-03	 9.080219e-03	-9.085660e-03	-9.091101e-03	-9.072964e-03	-1.813722e-04	 0.077553528	0.01001999	1.0153256
"A"	-1.05	4	-0.01867397	-0.01865032	8.770582e-07	-2.223164e-04	 2.237673e-04	 2.252182e-04	 2.203818e-04	 4.836406e-05	-0.002091457	0.01241932	1.0254863
"A"	-1.05	5	 0.84121493	 0.84090300	1.779792e-03	 1.001479e-02	-1.008015e-02	-1.014551e-02	-9.927644e-03	-2.178678e-03	 0.094299320	0.01241932	1.0163379
"A"	-1.05	3	-0.87856286	-0.87830862	1.941337e-03	-1.045942e-02	 1.052769e-02	 1.059595e-02	 1.036841e-02	 2.275407e-03	-0.098494008	0.01241932	1.0155103
"A"	-0.05	2	-1.80527268	-1.81047033	6.597155e-03	-2.125372e-02	 2.126645e-02	 2.127919e-02	 2.123674e-02	 4.245310e-04	-0.182142771	0.01001999	0.9814938
"A"	 0.95	2	-1.87571751	-1.88174088	8.272369e-03	-2.188021e-02	 2.176102e-02	 2.164183e-02	 2.203913e-02	-3.973083e-03	-0.204029204	0.01161955	0.9798328
"A"	 1.95	3	-1.08824765	-1.08850223	4.149640e-03	-1.260207e-02	 1.245567e-02	 1.230926e-02	 1.279728e-02	-4.880143e-03	-0.144076056	0.01721798	1.0151423
"A"	 0.95	5	 0.70290525	 0.70245440	1.161686e-03	 8.199377e-03	-8.154711e-03	-8.110045e-03	-8.258932e-03	 1.488871e-03	 0.076164159	0.01161955	1.0182687
"A"	 1.95	6	 1.49770926	 1.50007763	7.859773e-03	 1.734370e-02	-1.714221e-02	-1.694072e-02	-1.761235e-02	 6.716334e-03	 0.198552893	0.01721798	1.0015684
"A"	-2.05	4	 0.05050245	 0.05043865	9.782904e-06	 6.091611e-04	-6.166766e-04	-6.241921e-04	-5.991405e-04	-2.505167e-04	 0.006985055	0.01881753	1.0321447
"A"	 0.95	4	-0.15663567	-0.15644213	5.768679e-05	-1.827152e-03	 1.817199e-03	 1.807245e-03	 1.840423e-03	-3.317805e-04	-0.016962358	0.01161955	1.0243428
"A"	-1.05	4	-0.01867397	-0.01865032	8.770582e-07	-2.223164e-04	 2.237673e-04	 2.252182e-04	 2.203818e-04	 4.836406e-05	-0.002091457	0.01241932	1.0254863
"A"	-1.05	4	-0.01867397	-0.01865032	8.770582e-07	-2.223164e-04	 2.237673e-04	 2.252182e-04	 2.203818e-04	 4.836406e-05	-0.002091457	0.01241932	1.0254863
"A"	 0.95	2	-1.87571751	-1.88174088	8.272369e-03	-2.188021e-02	 2.176102e-02	 2.164183e-02	 2.203913e-02	-3.973083e-03	-0.204029204	0.01161955	0.9798328
"A"	 1.95	4	-0.22626201	-0.22599007	1.793817e-04	-2.620148e-03	 2.589708e-03	 2.559269e-03	 2.660734e-03	-1.014650e-03	-0.029912439	0.01721798	1.0298304
"A"	-3.05	4	 0.12037915	 0.12022888	8.721869e-05	 1.474063e-03	-1.500649e-03	-1.527235e-03	-1.438615e-03	-8.861988e-04	 0.020856783	0.02921462	1.0430412
"A"	-1.05	3	-0.87856286	-0.87830862	1.941337e-03	-1.045942e-02	 1.052769e-02	 1.059595e-02	 1.036841e-02	 2.275407e-03	-0.098494008	0.01241932	1.0155103
"A"	 0.95	3	-1.01617659	-1.01621865	2.427915e-03	-1.185368e-02	 1.178911e-02	 1.172454e-02	 1.193978e-02	-2.152432e-03	-0.110184290	0.01161955	1.0113375
"A"	 0.95	5	 0.70290525	 0.70245440	1.161686e-03	 8.199377e-03	-8.154711e-03	-8.110045e-03	-8.258932e-03	 1.488871e-03	 0.076164159	0.01161955	1.0182687
"A"	-0.05	5	 0.77126604	 0.77086980	1.204147e-03	 9.080219e-03	-9.085660e-03	-9.091101e-03	-9.072964e-03	-1.813722e-04	 0.077553528	0.01001999	1.0153256
"A"	-0.05	2	-1.80527268	-1.81047033	6.597155e-03	-2.125372e-02	 2.126645e-02	 2.127919e-02	 2.123674e-02	 4.245310e-04	-0.182142771	0.01001999	0.9814938
"A"	 0.95	5	 0.70290525	 0.70245440	1.161686e-03	 8.199377e-03	-8.154711e-03	-8.110045e-03	-8.258932e-03	 1.488871e-03	 0.076164159	0.01161955	1.0182687
"A"	 0.95	5	 0.70290525	 0.70245440	1.161686e-03	 8.199377e-03	-8.154711e-03	-8.110045e-03	-8.258932e-03	 1.488871e-03	 0.076164159	0.01161955	1.0182687
"A"	-0.05	5	 0.77126604	 0.77086980	1.204147e-03	 9.080219e-03	-9.085660e-03	-9.091101e-03	-9.072964e-03	-1.813722e-04	 0.077553528	0.01001999	1.0153256
"A"	-0.05	4	-0.08758020	-0.08747012	1.552683e-05	-1.031093e-03	 1.031711e-03	 1.032329e-03	 1.030270e-03	 2.059551e-05	-0.008799951	0.01001999	1.0229061
"A"	-0.05	5	 0.77126604	 0.77086980	1.204147e-03	 9.080219e-03	-9.085660e-03	-9.091101e-03	-9.072964e-03	-1.813722e-04	 0.077553528	0.01001999	1.0153256
"A"	 0.95	3	-1.01617659	-1.01621865	2.427915e-03	-1.185368e-02	 1.178911e-02	 1.172454e-02	 1.193978e-02	-2.152432e-03	-0.110184290	0.01161955	1.0113375
"A"	 0.95	4	-0.15663567	-0.15644213	5.768679e-05	-1.827152e-03	 1.817199e-03	 1.807245e-03	 1.840423e-03	-3.317805e-04	-0.016962358	0.01161955	1.0243428
"A"	-0.05	3	-0.94642644	-0.94630122	1.813196e-03	-1.114241e-02	 1.114908e-02	 1.115576e-02	 1.113350e-02	 2.225632e-04	-0.095202846	0.01001999	1.0114588
"A"	-0.05	5	 0.77126604	 0.77086980	1.204147e-03	 9.080219e-03	-9.085660e-03	-9.091101e-03	-9.072964e-03	-1.813722e-04	 0.077553528	0.01001999	1.0153256
"A"	-1.05	4	-0.01867397	-0.01865032	8.770582e-07	-2.223164e-04	 2.237673e-04	 2.252182e-04	 2.203818e-04	 4.836406e-05	-0.002091457	0.01241932	1.0254863
"A"	-0.05	3	-0.94642644	-0.94630122	1.813196e-03	-1.114241e-02	 1.114908e-02	 1.115576e-02	 1.113350e-02	 2.225632e-04	-0.095202846	0.01001999	1.0114588
"A"	-1.05	3	-0.87856286	-0.87830862	1.941337e-03	-1.045942e-02	 1.052769e-02	 1.059595e-02	 1.036841e-02	 2.275407e-03	-0.098494008	0.01241932	1.0155103
"A"	-0.05	4	-0.08758020	-0.08747012	1.552683e-05	-1.031093e-03	 1.031711e-03	 1.032329e-03	 1.030270e-03	 2.059551e-05	-0.008799951	0.01001999	1.0229061
"A"	 1.95	5	 0.63572363	 0.63524346	1.416093e-03	 7.361774e-03	-7.276249e-03	-7.190724e-03	-7.475808e-03	 2.850842e-03	 0.084081933	0.01721798	1.0252370
"A"	 0.95	3	-1.01617659	-1.01621865	2.427915e-03	-1.185368e-02	 1.178911e-02	 1.172454e-02	 1.193978e-02	-2.152432e-03	-0.110184290	0.01161955	1.0113375
"A"	-1.05	3	-0.87856286	-0.87830862	1.941337e-03	-1.045942e-02	 1.052769e-02	 1.059595e-02	 1.036841e-02	 2.275407e-03	-0.098494008	0.01241932	1.0155103
"A"	-0.05	4	-0.08758020	-0.08747012	1.552683e-05	-1.031093e-03	 1.031711e-03	 1.032329e-03	 1.030270e-03	 2.059551e-05	-0.008799951	0.01001999	1.0229061
"A"	-1.05	5	 0.84121493	 0.84090300	1.779792e-03	 1.001479e-02	-1.008015e-02	-1.014551e-02	-9.927644e-03	-2.178678e-03	 0.094299320	0.01241932	1.0163379
"A"	 0.95	3	-1.01617659	-1.01621865	2.427915e-03	-1.185368e-02	 1.178911e-02	 1.172454e-02	 1.193978e-02	-2.152432e-03	-0.110184290	0.01161955	1.0113375
"A"	-0.05	3	-0.94642644	-0.94630122	1.813196e-03	-1.114241e-02	 1.114908e-02	 1.115576e-02	 1.113350e-02	 2.225632e-04	-0.095202846	0.01001999	1.0114588
"A"	 0.95	4	-0.15663567	-0.15644213	5.768679e-05	-1.827152e-03	 1.817199e-03	 1.807245e-03	 1.840423e-03	-3.317805e-04	-0.016962358	0.01161955	1.0243428
"A"	-0.05	4	-0.08758020	-0.08747012	1.552683e-05	-1.031093e-03	 1.031711e-03	 1.032329e-03	 1.030270e-03	 2.059551e-05	-0.008799951	0.01001999	1.0229061
"A"	 0.95	5	 0.70290525	 0.70245440	1.161686e-03	 8.199377e-03	-8.154711e-03	-8.110045e-03	-8.258932e-03	 1.488871e-03	 0.076164159	0.01161955	1.0182687
"A"	-0.05	5	 0.77126604	 0.77086980	1.204147e-03	 9.080219e-03	-9.085660e-03	-9.091101e-03	-9.072964e-03	-1.813722e-04	 0.077553528	0.01001999	1.0153256
"A"	 0.95	4	-0.15663567	-0.15644213	5.768679e-05	-1.827152e-03	 1.817199e-03	 1.807245e-03	 1.840423e-03	-3.317805e-04	-0.016962358	0.01161955	1.0243428
"A"	-2.05	3	-0.81218552	-0.81183494	2.530191e-03	-9.796591e-03	 9.917456e-03	 1.003832e-02	 9.635437e-03	 4.028834e-03	-0.112427919	0.01881753	1.0235881
"A"	-0.05	4	-0.08758020	-0.08747012	1.552683e-05	-1.031093e-03	 1.031711e-03	 1.032329e-03	 1.030270e-03	 2.059551e-05	-0.008799951	0.01001999	1.0229061
"A"	-0.05	4	-0.08758020	-0.08747012	1.552683e-05	-1.031093e-03	 1.031711e-03	 1.032329e-03	 1.030270e-03	 2.059551e-05	-0.008799951	0.01001999	1.0229061
"A"	 1.95	4	-0.22626201	-0.22599007	1.793817e-04	-2.620148e-03	 2.589708e-03	 2.559269e-03	 2.660734e-03	-1.014650e-03	-0.029912439	0.01721798	1.0298304
"A"	-0.05	4	-0.08758020	-0.08747012	1.552683e-05	-1.031093e-03	 1.031711e-03	 1.032329e-03	 1.030270e-03	 2.059551e-05	-0.008799951	0.01001999	1.0229061
"A"	 1.95	7	 2.35969490	 2.37349454	1.951042e-02	 2.732562e-02	-2.700816e-02	-2.669071e-02	-2.774889e-02	 1.058183e-02	 0.314159880	0.01721798	0.9598845
"A"	-0.05	3	-0.94642644	-0.94630122	1.813196e-03	-1.114241e-02	 1.114908e-02	 1.115576e-02	 1.113350e-02	 2.225632e-04	-0.095202846	0.01001999	1.0114588
"A"	-1.05	3	-0.87856286	-0.87830862	1.941337e-03	-1.045942e-02	 1.052769e-02	 1.059595e-02	 1.036841e-02	 2.275407e-03	-0.098494008	0.01241932	1.0155103
"A"	 0.95	4	-0.15663567	-0.15644213	5.768679e-05	-1.827152e-03	 1.817199e-03	 1.807245e-03	 1.840423e-03	-3.317805e-04	-0.016962358	0.01161955	1.0243428
"A"	 0.95	6	 1.56244617	 1.56531172	5.739911e-03	 1.822591e-02	-1.812662e-02	-1.802733e-02	-1.835829e-02	 3.309522e-03	 0.169720129	0.01161955	0.9933862
"A"	 0.95	3	-1.01617659	-1.01621865	2.427915e-03	-1.185368e-02	 1.178911e-02	 1.172454e-02	 1.193978e-02	-2.152432e-03	-0.110184290	0.01161955	1.0113375
"A"	-0.05	2	-1.80527268	-1.81047033	6.597155e-03	-2.125372e-02	 2.126645e-02	 2.127919e-02	 2.123674e-02	 4.245310e-04	-0.182142771	0.01001999	0.9814938
"A"	-1.05	4	-0.01867397	-0.01865032	8.770582e-07	-2.223164e-04	 2.237673e-04	 2.252182e-04	 2.203818e-04	 4.836406e-05	-0.002091457	0.01241932	1.0254863
"A"	-0.05	3	-0.94642644	-0.94630122	1.813196e-03	-1.114241e-02	 1.114908e-02	 1.115576e-02	 1.113350e-02	 2.225632e-04	-0.095202846	0.01001999	1.0114588
"A"	-0.05	4	-0.08758020	-0.08747012	1.552683e-05	-1.031093e-03	 1.031711e-03	 1.032329e-03	 1.030270e-03	 2.059551e-05	-0.008799951	0.01001999	1.0229061
"A"	-1.05	3	-0.87856286	-0.87830862	1.941337e-03	-1.045942e-02	 1.052769e-02	 1.059595e-02	 1.036841e-02	 2.275407e-03	-0.098494008	0.01241932	1.0155103
"A"	-2.05	6	 1.77587839	 1.78075217	1.209677e-02	 2.142066e-02	-2.168494e-02	-2.194922e-02	-2.106830e-02	-8.809219e-03	 0.246609563	0.01881753	0.9916253
"A"	 2.95	6	 1.43555505	 1.43749153	1.135683e-02	 1.653547e-02	-1.623924e-02	-1.594302e-02	-1.693043e-02	 9.874156e-03	 0.238615647	0.02681529	1.0137954
"A"	-0.05	4	-0.08758020	-0.08747012	1.552683e-05	-1.031093e-03	 1.031711e-03	 1.032329e-03	 1.030270e-03	 2.059551e-05	-0.008799951	0.01001999	1.0229061
"A"	-0.05	6	 1.63011228	 1.63355147	5.379056e-03	 1.919153e-02	-1.920303e-02	-1.921453e-02	-1.917620e-02	-3.833400e-04	 0.164343810	0.01001999	0.9890552
"A"	-0.05	6	 1.63011228	 1.63355147	5.379056e-03	 1.919153e-02	-1.920303e-02	-1.921453e-02	-1.917620e-02	-3.833400e-04	 0.164343810	0.01001999	0.9890552
"A"	-1.05	4	-0.01867397	-0.01865032	8.770582e-07	-2.223164e-04	 2.237673e-04	 2.252182e-04	 2.203818e-04	 4.836406e-05	-0.002091457	0.01241932	1.0254863
"A"	-2.05	4	 0.05050245	 0.05043865	9.782904e-06	 6.091611e-04	-6.166766e-04	-6.241921e-04	-5.991405e-04	-2.505167e-04	 0.006985055	0.01881753	1.0321447
"A"	-1.05	7	 2.56099271	 2.57925181	1.649575e-02	 3.048901e-02	-3.068799e-02	-3.088697e-02	-3.022369e-02	-6.632764e-03	 0.289238704	0.01241932	0.9431340
"A"	-0.05	6	 1.63011228	 1.63355147	5.379056e-03	 1.919153e-02	-1.920303e-02	-1.921453e-02	-1.917620e-02	-3.833400e-04	 0.164343810	0.01001999	0.9890552
"A"	 1.95	4	-0.22626201	-0.22599007	1.793817e-04	-2.620148e-03	 2.589708e-03	 2.559269e-03	 2.660734e-03	-1.014650e-03	-0.029912439	0.01721798	1.0298304
"A"	-1.05	4	-0.01867397	-0.01865032	8.770582e-07	-2.223164e-04	 2.237673e-04	 2.252182e-04	 2.203818e-04	 4.836406e-05	-0.002091457	0.01241932	1.0254863
"A"	-0.05	4	-0.08758020	-0.08747012	1.552683e-05	-1.031093e-03	 1.031711e-03	 1.032329e-03	 1.030270e-03	 2.059551e-05	-0.008799951	0.01001999	1.0229061
"B"	-0.05	5	 0.80868620	 0.80833133	1.321265e-03	 1.901702e-06	 9.508128e-03	-4.183744e-06	-3.803403e-07	-3.803403e-05	 0.081243637	0.01000080	1.0145452
"B"	 0.95	4	-0.11919553	-0.11904669	3.428023e-05	 1.374801e-05	-1.425248e-03	-3.024562e-05	-2.749602e-06	-2.749602e-04	-0.013075679	0.01192026	1.0247886
"B"	-0.05	3	-0.90898963	-0.90878928	1.669351e-03	-2.137575e-06	-1.068745e-02	 4.702664e-06	 4.275149e-07	 4.275149e-05	-0.091340448	0.01000080	1.0123309
"B"	-2.05	5	 0.95046670	 0.95035019	3.341510e-03	 2.266822e-04	 1.086234e-02	-4.987008e-04	-4.533644e-05	-4.533644e-03	 0.129241845	0.01815852	1.0197437
"B"	-1.05	6	 1.73827885	 1.74275564	7.389618e-03	 2.086933e-04	 2.013195e-02	-4.591253e-04	-4.173867e-05	-4.173867e-03	 0.192713896	0.01208022	0.9865244
"B"	 0.95	4	-0.11919553	-0.11904669	3.428023e-05	 1.374801e-05	-1.425248e-03	-3.024562e-05	-2.749602e-06	-2.749602e-04	-0.013075679	0.01192026	1.0247886
"B"	-1.05	4	 0.01879625	 0.01877245	8.640232e-07	 2.256630e-06	 2.176895e-04	-4.964585e-06	-4.513259e-07	-4.513259e-05	 0.002075857	0.01208022	1.0251343
"B"	 1.95	2	-1.91327268	-1.91976558	1.329725e-02	 4.471986e-04	-2.330763e-02	-9.838369e-04	-8.943972e-05	-8.943972e-03	-0.258724298	0.01783861	0.9842464
"B"	-0.05	7	 2.52636203	 2.54379742	1.289499e-02	 5.940978e-06	 2.970370e-02	-1.307015e-05	-1.188196e-06	-1.188196e-04	 0.255671587	0.01000080	0.9429655
"B"	 0.95	3	-0.97886723	-0.97881529	2.311913e-03	 1.129025e-04	-1.170454e-02	-2.483856e-04	-2.258050e-05	-2.258050e-03	-0.107509701	0.01192026	1.0126013
"B"	 0.95	5	 0.74047618	 0.74005209	1.322958e-03	-8.540651e-05	 8.854040e-03	 1.878943e-04	 1.708130e-05	 1.708130e-03	 0.081284774	0.01192026	1.0178787
"B"	 0.95	4	-0.11919553	-0.11904669	3.428023e-05	 1.374801e-05	-1.425248e-03	-3.024562e-05	-2.749602e-06	-2.749602e-04	-0.013075679	0.01192026	1.0247886
"B"	-0.05	3	-0.90898963	-0.90878928	1.669351e-03	-2.137575e-06	-1.068745e-02	 4.702664e-06	 4.275149e-07	 4.275149e-05	-0.091340448	0.01000080	1.0123309
"B"	-0.05	4	-0.05015171	-0.05008835	5.081611e-06	-1.179365e-07	-5.896587e-04	 2.594602e-07	 2.358729e-08	 2.358729e-06	-0.005034272	0.01000080	1.0229530
"B"	-2.05	4	 0.08806830	 0.08795762	2.868852e-05	 2.100391e-05	 1.006482e-03	-4.620860e-05	-4.200781e-06	-4.200781e-04	 0.011961701	0.01815852	1.0313839
"B"	-0.05	2	-1.76782754	-1.77261470	6.314074e-03	-4.157213e-06	-2.078523e-02	 9.145868e-06	 8.314426e-07	 8.314426e-05	-0.178161676	0.01000080	0.9831520
"B"	-1.05	4	 0.01879625	 0.01877245	8.640232e-07	 2.256630e-06	 2.176895e-04	-4.964585e-06	-4.513259e-07	-4.513259e-05	 0.002075857	0.01208022	1.0251343
"B"	-1.05	2	-1.70068635	-1.70478522	7.073454e-03	-2.041801e-04	-1.969657e-02	 4.491961e-04	 4.083601e-05	 4.083601e-03	-0.188515128	0.01208022	0.9881523
"B"	-2.05	4	 0.08806830	 0.08795762	2.868852e-05	 2.100391e-05	 1.006482e-03	-4.620860e-05	-4.200781e-06	-4.200781e-04	 0.011961701	0.01815852	1.0313839
"B"	 0.95	2	-1.83853894	-1.84411770	8.155855e-03	 2.120570e-04	-2.198382e-02	-4.665255e-04	-4.241141e-05	-4.241141e-03	-0.202551539	0.01192026	0.9818609
"B"	 0.95	5	 0.74047618	 0.74005209	1.322958e-03	-8.540651e-05	 8.854040e-03	 1.878943e-04	 1.708130e-05	 1.708130e-03	 0.081284774	0.01192026	1.0178787
"B"	-0.05	5	 0.80868620	 0.80833133	1.321265e-03	 1.901702e-06	 9.508128e-03	-4.183744e-06	-3.803403e-07	-3.803403e-05	 0.081243637	0.01000080	1.0145452
"B"	-0.05	4	-0.05015171	-0.05008835	5.081611e-06	-1.179365e-07	-5.896587e-04	 2.594602e-07	 2.358729e-08	 2.358729e-06	-0.005034272	0.01000080	1.0229530
"B"	-0.05	7	 2.52636203	 2.54379742	1.289499e-02	 5.940978e-06	 2.970370e-02	-1.307015e-05	-1.188196e-06	-1.188196e-04	 0.255671587	0.01000080	0.9429655
"B"	-0.05	5	 0.80868620	 0.80833133	1.321265e-03	 1.901702e-06	 9.508128e-03	-4.183744e-06	-3.803403e-07	-3.803403e-05	 0.081243637	0.01000080	1.0145452
"B"	-0.05	4	-0.05015171	-0.05008835	5.081611e-06	-1.179365e-07	-5.896587e-04	 2.594602e-07	 2.358729e-08	 2.358729e-06	-0.005034272	0.01000080	1.0229530
"B"	 0.95	4	-0.11919553	-0.11904669	3.428023e-05	 1.374801e-05	-1.425248e-03	-3.024562e-05	-2.749602e-06	-2.749602e-04	-0.013075679	0.01192026	1.0247886
"B"	-0.05	3	-0.90898963	-0.90878928	1.669351e-03	-2.137575e-06	-1.068745e-02	 4.702664e-06	 4.275149e-07	 4.275149e-05	-0.091340448	0.01000080	1.0123309
"B"	-1.05	3	-0.84094505	-0.84063274	1.729491e-03	-1.009617e-04	-9.739440e-03	 2.221158e-04	 2.019234e-05	 2.019234e-03	-0.092957158	0.01208022	1.0159948
"B"	-0.05	5	 0.80868620	 0.80833133	1.321265e-03	 1.901702e-06	 9.508128e-03	-4.183744e-06	-3.803403e-07	-3.803403e-05	 0.081243637	0.01000080	1.0145452
"B"	 0.95	5	 0.74047618	 0.74005209	1.322958e-03	-8.540651e-05	 8.854040e-03	 1.878943e-04	 1.708130e-05	 1.708130e-03	 0.081284774	0.01192026	1.0178787
"B"	-2.05	2	-1.63672850	-1.64022683	9.908827e-03	-3.903526e-04	-1.870523e-02	 8.587758e-04	 7.807053e-05	 7.807053e-03	-0.223060871	0.01815852	0.9969789
