"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"b0",4.08076976,4.080365,4.07482704307594,11000,0.95,3.98219,4.17702,NA,NA,NA,NA,NA,NA,NA
"b[1] A",0.000215002559914545,0.000161789,0.000462746606656184,12436.8,0.95,-0.129017,0.117612,NA,NA,NA,NA,NA,NA,NA
"b[2] B",-0.000281398123520545,-0.000327899,-0.001346518111419,10866.7,0.95,-0.121078,0.124889,NA,NA,NA,NA,NA,NA,NA
"b[3] C",-0.0110529006505598,-0.00513424,-0.000715039898314396,11000,0.95,-0.14017,0.11063,NA,NA,NA,NA,NA,NA,NA
"b[4] CG",0.0215218734835782,0.0113719,0.000989146703899824,10261.5,0.95,-0.0969115,0.147303,NA,NA,NA,NA,NA,NA,NA
"b[5] D",-0.0104025751673573,-0.00465486,-0.000943606868546276,11000,0.95,-0.139779,0.107778,NA,NA,NA,NA,NA,NA,NA
"m[1] A",4.08098473454545,4.08092,4.07178622920064,11000,0.95,3.92077,4.22613,NA,NA,NA,NA,NA,NA,NA
"m[2] B",4.08048822636364,4.07998,4.07925008889829,12339.8,0.95,3.92842,4.23038,NA,NA,NA,NA,NA,NA,NA
"m[3] C",4.06971678,4.071575,4.070905281627,11000,0.95,3.91702,4.22842,NA,NA,NA,NA,NA,NA,NA
"m[4] CG",4.10229161818182,4.09907,4.10191545204803,11000,0.95,3.95785,4.25937,NA,NA,NA,NA,NA,NA,NA
"m[5] D",4.07036713636364,4.0719,4.07273086539977,11000,0.95,3.91746,4.22685,NA,NA,NA,NA,NA,NA,NA
"aSigma",0.0937775303550727,0.0681113,0.028833524938654,4839.8,0.95,1.38573e-05,0.26437,NA,NA,NA,NA,NA,NA,NA
"ySigma[1] A",1.10191037245455,1.09954,1.09548395751517,9298.3,0.95,0.991026,1.21979,NA,NA,NA,NA,NA,NA,NA
"ySigma[2] B",1.10305089618182,1.100265,1.09687195472096,9068.1,0.95,0.987768,1.21531,NA,NA,NA,NA,NA,NA,NA
"ySigma[3] C",1.10206312690909,1.0992,1.09179103801385,10061.6,0.95,0.990722,1.21637,NA,NA,NA,NA,NA,NA,NA
"ySigma[4] CG",1.07342752309091,1.0758,1.08658683065553,9740,0.95,0.954919,1.18893,NA,NA,NA,NA,NA,NA,NA
"ySigma[5] D",1.103172726,1.09993,1.09153127128808,9949.9,0.95,0.989948,1.22313,NA,NA,NA,NA,NA,NA,NA
"nu",60.1935787772727,51.93275,36.4992935528876,11000,0.95,11.8292,127.147,NA,NA,NA,NA,NA,NA,NA
"ySigmaMode",1.09277156118182,1.09397,1.09934998624156,7653.4,0.95,0.978986,1.2009,NA,NA,NA,NA,NA,NA,NA
"ySigmaSD",0.0766240059647727,0.0526695,0.0259683368446556,2011.1,0.95,7.94459e-05,0.212846,NA,NA,NA,NA,NA,NA,NA
"ABCD.v.CG",-0.026902341328959,-0.014214875,-0.0012363651665967,10261.5,0.95,-0.184128685,0.1211394,0,36.7181818181818,-1.5,1.5,0,100,0
"BC.v.A",-0.00588215194695473,-0.00290009,-0.00108449661867666,11000,0.95,-0.17329805,0.166146,0,46.8727272727273,-1.5,1.5,0,100,0
