"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"b0",2.45273937909091,2.45288,2.45277101131644,11000,0.95,2.35731,2.54488,NA,NA,NA,NA,NA,NA,NA
"b[1] A",-2.45321853272727,-2.453735,-2.45672118928232,10612.1,0.95,-2.64798,-2.27652,NA,NA,NA,NA,NA,NA,NA
"b[2] B",1.62614487272727,1.6267,1.6322903202472,11000,0.95,1.42922,1.81687,NA,NA,NA,NA,NA,NA,NA
"b[3] C",1.59040906181818,1.59075,1.59548052260285,11000,0.95,1.39742,1.78172,NA,NA,NA,NA,NA,NA,NA
"b[4] CG",1.68793095181818,1.689275,1.69033415214858,11000,0.95,1.49746,1.87047,NA,NA,NA,NA,NA,NA,NA
"b[5] D",-2.45126645909091,-2.45153,-2.46633234750068,11000,0.95,-2.63475,-2.2705,NA,NA,NA,NA,NA,NA,NA
"m[1] A",-0.000479124167113273,-0.0009263805,-0.0165617312286935,10541.5,0.95,-0.19678,0.215236,NA,NA,NA,NA,NA,NA,NA
"m[2] B",4.07888421636364,4.079395,4.08151260364617,11519,0.95,3.86128,4.29795,NA,NA,NA,NA,NA,NA,NA
"m[3] C",4.04314843636364,4.04326,4.03831118701278,10703.9,0.95,3.82179,4.25613,NA,NA,NA,NA,NA,NA,NA
"m[4] CG",4.14067025,4.14201,4.15306326063616,11000,0.95,3.93044,4.3484,NA,NA,NA,NA,NA,NA,NA
"m[5] D",0.00147291623498636,0.00168517,0.00581664979061797,11000,0.95,-0.204565,0.202533,NA,NA,NA,NA,NA,NA,NA
"aSigma",2.92364755418182,2.6233,2.09342381064601,892.8,0.95,1.20852,5.43792,NA,NA,NA,NA,NA,NA,NA
"ySigma[1] A",1.02245055454545,1.023995,1.03946719953536,9884.6,0.95,0.906614,1.14032,NA,NA,NA,NA,NA,NA,NA
"ySigma[2] B",1.07859318836364,1.072205,1.05861079148733,9552.4,0.95,0.961644,1.20886,NA,NA,NA,NA,NA,NA,NA
"ySigma[3] C",1.07816888790909,1.07182,1.06248997775268,8729.8,0.95,0.961849,1.20533,NA,NA,NA,NA,NA,NA,NA
"ySigma[4] CG",1.04178458027273,1.04042,1.0342790578261,10390.3,0.95,0.92926,1.15897,NA,NA,NA,NA,NA,NA,NA
"ySigma[5] D",1.02134455272727,1.023815,1.03079765641342,9623.1,0.95,0.89909,1.13309,NA,NA,NA,NA,NA,NA,NA
"nu",59.3228681727273,51.54885,38.3608530503403,9977.1,0.95,12.0594,127.187,NA,NA,NA,NA,NA,NA,NA
"ySigmaMode",1.040955847,1.044245,1.0459021112619,8247.4,0.95,0.911697,1.16832,NA,NA,NA,NA,NA,NA,NA
"ySigmaSD",0.0923350475604091,0.0657048,0.037544363024367,3580.5,0.95,7.95773e-05,0.2609,NA,NA,NA,NA,NA,NA,NA
"ABCD.v.CG",-2.10991371613636,-2.111595,-2.1129188986006,11000,0.95,-2.3380875,-1.8718225,0,0,-1.5,1.5,100,0,0
"BC.v.A",4.0614955,4.060735,4.04812762297384,10634.6,0.95,3.79827,4.311325,0,100,-1.5,1.5,0,0,100
