Status,Progress,Duration (in seconds),Finished,DistributionChannel,UserLanguage,versuchsleitung,bedingung,einwilligung,codeword,sr_know1,sr_know2,test_know1,test_know2,test_know3,test_know4,test_know5,test_know6,test_know7,test_know8,test_know9,test_know10,test_know11,se_test1,se_test2,se_intro2,se1,se2,se3,se4,se5,se6,se7,se8,se9,se10,se11,se12,ac3,VL_kontaktiert,gender,age,ac1,edu,employ,employ_7_TEXT,SHD,SHD_1_TEXT,ExpertiseSMD,ExpertisePrivacyCS,ExperienceAR,sys_trust1,sys_trust2,sys_trust3,sys_trust4,sys_trust5,sys_trust6,sys_trust7,sys_trust8,sys_trust9,sys_trust10,sys_trust11,sys_trust12,symb_trust1,symb_trust2,symb_trust3,symb_trust4,symb_trust5,sa1,sa2,sa3,sa4,sa5,sa6,ac2,anmerkung_nachfrage,anmerkung_nachfrage_2_TEXT,anmerkung_sonstiges,anmerkung_sonstiges_2_TEXT,FL_31_DO,FL_24_DO,FL_26_DO,FL_15_DO,FL_17_DO,PerceivedKnowledge_DO,TestedKnowledge_DO,Self-Efficacy_DO,Demographie_DO,SystemTrust_DO,SymbolTrust_DO,SafetyAttitude_DO
Response Type,Progress,Duration (in seconds),Finished,Distribution Channel,User Language,Wer führt die Erhebung durch?,Welche Bedingung soll durchlaufen werden?,Die Teilnahmeinformation ist Teil dieser Einwilligungserklärung.,Geben Sie hier bitte Ihren persönlichen Versuchspersonen-Code ein:,Ich fühle mich ausreichend über die Risiken von Smart Home-Geräten informiert.,"Ich fühle mich ausreichend darüber informiert, wie man die Risiken von Smart-Home-Geräten vermeiden kann.",Welche der folgenden Daten können grundsätzlich von Smart-Home-Geräten erfasst werden?,Wozu dient eine Datenschutzerklärung im Zusammenhang mit Smart-Home-Geräten?,Welche der folgenden Aussagen treffen auf die Erhebung personenbezogener Daten durch Smart-Home-Geräte zu?,Welche potenziellen Risiken im Hinblick auf Datenschutz birgt die Verwendung von Smart-Home-Geräten?,Wie können Benutzer*innen ihre Daten vor dem Zugriff Unbefugter bei der Verwendung von Smart-Home-Geräten schützen?,Was versteht man im Zusammenhang mit Datenverkehr unter „lokaler Verarbeitung“ bei Smart-Home-Geräten?,Welche Aussagen über Updates treffen in Bezug auf Smart-Home-Geräte zu?,Welche Aussagen über den Zugriff auf Smart-Home-Geräte von außen treffen zu?,Welche Aussagen über Sicherheitsmaßnahmen in Bezug auf Smart Homes treffen zu?,Welche Aussagen über Datenströme in Smart-Home-Systemen treffen zu?,Welche Aussagen über Rechte und Pflichten von Nutzer*innen und Herstellern treffen in Bezug auf Smart-Home-Geräte zu?,Ich kann drei Bücher auf einmal heben.,Ich kann einen 50 Kilogramm schweren Stein heben.,"Im Folgenden werden Sie zu Ihren Smart-Home-Geräten befragt. Denken Sie bei der Beantwortung der Fragen immer an Ihr komplettes Smart-Home-System.

 

Smart-Home-Geräte sind mit dem Internet verbundene Geräte, die die Fernüberwachung und -verwaltung von Geräten und Systemen ermöglichen. Beispiele für diese Art von Geräten sind Amazon Alexa, ein intelligentes Heizsystem (das von überall aus über eine Smartphone-Anwendung gesteuert werden kann), ein intelligenter Kühlschrank (der Ihnen Bilder von seinem Inhalt zeigt, während Sie im Supermarkt frische Lebensmittel kaufen). Ein Tablet oder Smartphone ist kein Smart-Home-Gerät.

 

Versuchen Sie, alle Fragen so ehrlich und so spontan wie möglich zu beantworten. Es gibt keine richtigen oder falschen Antworten. Denken Sie daran: Auch wenn Sie die folgende Situation oder das folgende Verhalten bisher noch nicht erlebt haben, versuchen Sie, so ehrlich und spontan wie möglich zu antworten, basierend auf Ihren aktuellen Erwartungen. 

 

Wenn Sie keine Erfahrungen mit Smart-Home-Geräten haben, versuchen Sie sich dennoch so gut wie möglich in die Situation hineinzuversetzen.",Ich kann die Datenschutzrichtlinien von Geräten zur Risikobewertung hinsichtlich meiner Privatsphäre nutzen.,"Ich kann die in einer Cloud gespeicherten Daten löschen, wenn ich meine Geräte nicht mehr nutzen möchte.","Ich kann die Informationen beschaffen, die ich brauche, um meine gespeicherten Daten auf meinen Geräten zu löschen.","Ich kann herausfinden, welche Drittanbieter Zugriff auf die von meinen Geräten gesammelten Daten haben.","Ich kann herausfinden, welche Daten meine Geräte sammeln.","Ich kann mir das technische Wissen aneignen, um die technischen Datenblätter meiner Geräte zu verstehen.","Ich kann die Auswirkungen auf meine Privatsphäre überblicken, wenn ich mehrere Geräte miteinander verbinde.","Ich kann erkennen, wenn Benutzeroberflächen so gestaltet sind, dass sie meine Entscheidungen über Sicherheitsoptionen beeinflussen.",Ich kann Verletzungen meiner Datenschutzrechte durch eine Gerätefunktion erkennen.,Ich kann bei Bedarf Kontakt mit dem Datenschutzbeauftragten eines Herstellers aufnehmen.,Ich kann vor dem Kauf eines neuen Geräts Informationen über die damit verbundenen Auswirkungen auf die Privatsphäre einholen.,Ich kann meine Geräte im Falle eines Sicherheitsangriffs deaktivieren.,"Bitte kreuzen Sie die Antwort ""kann ich mit hoher Gewissheit tun"" an, um zu zeigen, dass Sie den Satz gelesen haben.","!!!! Achtung !!!!

 
Bitte wenden Sie sich nun an die Versuchsleitung.



Wenden Sie sich auch dann an die Versuchsleitung, wenn Sie bisher noch keinen Fragebogen ausfüllen mussten. Dies kann zur Sicherung der Datenqualität vorkommen.",Welches Geschlecht haben Sie?,Wie alt sind Sie (in Jahren)?,Ich wurde vor 1910 geboren.,"Welches ist der höchste Abschluss, den Sie erworben haben?",Wie ist Ihr derzeitiger Beschäftigungsstatus? - Selected Choice,Wie ist Ihr derzeitiger Beschäftigungsstatus? - Anderer: – Text,"Besitzen Sie eines der unten genannten Smart-Home-Produkte? 

- Hausassistenten/Smart Hub (z. B. Amazon Echo, CastleHub, Google Home) 
- Intelligenter Thermostat (z. B. Nest, Hive, tadoi) 
- Vernetzte Leuchten (z. B. Phillips Hue, LIFX, Elgato Avea, Belkin WeMo) 
- Intelligente Steckdosen (z. B. Belkin WeMo Insight Switch, Ankuoo NEO PRO Wi-Fi Smart Switch) 
- Intelligentes Türschloss und/oder Türklingel (z. B. August Smartlock, Danalock, Ring Smart Doorbell) 
- Intelligente Sicherheitskamera (z. B. Nest Cam, Netatmo, Netgear Arlo) 
- Intelligente Sprinkler-/Bewässerungssteuerungen (z. B. Aifro WaterEco, BlueSpray, Rachio Smart Sprinkler Controller) 
- Intelligente Gesundheitsüberwachungsgeräte, ausgenommen intelligente Uhren (z. B. Waagen, Blutdruckmessgeräte) 
- Lebensmittelbestellungen (z. B. Amazon Dash Buttons, Hiku, GeniCan) 
- Intelligente Rauchmelder und -alarme (z. B. Kepler, Birdi) 
- Intelligente Haushaltsgeräte (z. B. Kühlschrank, Ofen, Wasserkocher, Waage, Staubsauger) - Selected Choice","Besitzen Sie eines der unten genannten Smart-Home-Produkte? 

- Hausassistenten/Smart Hub (z. B. Amazon Echo, CastleHub, Google Home) 
- Intelligenter Thermostat (z. B. Nest, Hive, tadoi) 
- Vernetzte Leuchten (z. B. Phillips Hue, LIFX, Elgato Avea, Belkin WeMo) 
- Intelligente Steckdosen (z. B. Belkin WeMo Insight Switch, Ankuoo NEO PRO Wi-Fi Smart Switch) 
- Intelligentes Türschloss und/oder Türklingel (z. B. August Smartlock, Danalock, Ring Smart Doorbell) 
- Intelligente Sicherheitskamera (z. B. Nest Cam, Netatmo, Netgear Arlo) 
- Intelligente Sprinkler-/Bewässerungssteuerungen (z. B. Aifro WaterEco, BlueSpray, Rachio Smart Sprinkler Controller) 
- Intelligente Gesundheitsüberwachungsgeräte, ausgenommen intelligente Uhren (z. B. Waagen, Blutdruckmessgeräte) 
- Lebensmittelbestellungen (z. B. Amazon Dash Buttons, Hiku, GeniCan) 
- Intelligente Rauchmelder und -alarme (z. B. Kepler, Birdi) 
- Intelligente Haushaltsgeräte (z. B. Kühlschrank, Ofen, Wasserkocher, Waage, Staubsauger) - Ja. Wenn ja, welche? – Text",Haben Sie Expertise im Umgang mit Smart-Home-Geräten?,Haben Sie Expertise im Bereich Datenschutz und Cybersicherheit?,Haben Sie Erfahrungen mit Augmented-Reality-Anwendungen (AR-Apps)?,Ich kann der App vertrauen.,Die App ist irreführend.,Die Aktionen der App sind undurchsichtig.,"Ich misstraue den Aktionen, Absichten oder Konsequenzen der App.",Ich bin der App gegenüber wachsam.,Ich bin mit der App vertraut.,Die Aktionen der App führen zu nachteiligen oder schädlichen Konsequenzen.,"Ich traue mir zu, die App zu nutzen.",Die App ist glaubwürdig.,Ich kann mich auf die App verlassen.,Die App bietet Sicherheit.,Die App ist zuverlässig.,Das Symbol ist nachvollziehbar.,Ich kann dem Symbol vertrauen.,Ich kann mich auf das Symbol nicht verlassen.,Das Symbol ist zuverlässig.,Das Symbol ist präzise.,"Ich bin stets bestrebt, Gelegenheiten zu finden, um mehr über die für mich relevanten Sicherheitsmaßnahmen zu erfahren.","Ich bin äußerst motiviert, alle notwendigen Schritte zu unternehmen, um meine Online-Daten und -Konten zu schützen.",Im Allgemeinen folge ich gewissenhaft einer Routine bezüglich Sicherheitsmaßnahmen.,Ich interessiere mich oft für Artikel über Sicherheitsbedrohungen.,"Ich höre immer auf den Rat von Expert*innen, welche Schritte ich ergreifen muss, um meine Online-Daten und -Konten zu schützen.","Ich habe äußerst umfassende Kenntnisse über alle erforderlichen Schritte, um meine Online-Daten und -Konten zu schützen.","Bitte kreuzen Sie die Antwort ""stimme voll und ganz zu"" an, um zu zeigen, dass Sie den Satz gelesen haben.","Nur für die Versuchsleitung.



Sind irgendwelche Probleme aufgetreten? - Selected Choice","Nur für die Versuchsleitung.



Sind irgendwelche Probleme aufgetreten? - Ja – Text",Weitere Anmerkungen? - Selected Choice,Weitere Anmerkungen? - Ja – Text,FL_31 - Block Randomizer - Display Order,FL_24 - Block Randomizer - Display Order,FL_26 - Block Randomizer - Display Order,FL_15 - Block Randomizer - Display Order,FL_17 - Block Randomizer - Display Order,Perceived Knowledge - Display Order,Tested Knowledge - Display Order,Self-Efficacy - Display Order,Demographie - Display Order,System Trust - Display Order,Symbol Trust - Display Order,Safety Attitude - Display Order
"{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID117""}","{""ImportId"":""QID100""}","{""ImportId"":""QID27""}","{""ImportId"":""QID1212953272_TEXT""}","{""ImportId"":""QID1""}","{""ImportId"":""QID20""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID1213329715""}","{""ImportId"":""QID42""}","{""ImportId"":""QID1213329718""}","{""ImportId"":""QID1213329719""}","{""ImportId"":""QID1213329720""}","{""ImportId"":""QID1213329722""}","{""ImportId"":""QID44""}","{""ImportId"":""QID43""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51""}","{""ImportId"":""QID54""}","{""ImportId"":""QID53""}","{""ImportId"":""QID55""}","{""ImportId"":""QID56""}","{""ImportId"":""QID65""}","{""ImportId"":""QID64""}","{""ImportId"":""QID63""}","{""ImportId"":""QID62""}","{""ImportId"":""QID61""}","{""ImportId"":""QID60""}","{""ImportId"":""QID57""}","{""ImportId"":""QID58""}","{""ImportId"":""QID59""}","{""ImportId"":""QID91""}","{""ImportId"":""QID134""}","{""ImportId"":""QID68""}","{""ImportId"":""QID69_TEXT""}","{""ImportId"":""QID1212598819""}","{""ImportId"":""QID1212598821""}","{""ImportId"":""QID1212598822""}","{""ImportId"":""QID1212598822_7_TEXT""}","{""ImportId"":""QID1212598780""}","{""ImportId"":""QID1212598780_1_TEXT""}","{""ImportId"":""QID111""}","{""ImportId"":""QID112""}","{""ImportId"":""QID114""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID1212586384""}","{""ImportId"":""QID1212586385""}","{""ImportId"":""QID1212586386""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID88""}","{""ImportId"":""QID110""}","{""ImportId"":""QID110_2_TEXT""}","{""ImportId"":""QID109""}","{""ImportId"":""QID109_2_TEXT""}","{""ImportId"":""FL_31_DO""}","{""ImportId"":""FL_24_DO""}","{""ImportId"":""FL_26_DO""}","{""ImportId"":""FL_15_DO""}","{""ImportId"":""FL_17_DO""}","{""ImportId"":""BL_9MudmQZRnvacwOa_DO""}","{""ImportId"":""BL_1HSda6e7ZGwrRIy_DO""}","{""ImportId"":""BL_6nVdCN7u70MAmCq_DO""}","{""ImportId"":""BL_8CjomLInAOVrQLs_DO""}","{""ImportId"":""BL_7373lVxWQXfCSkS_DO""}","{""ImportId"":""BL_3JzZOfpX9cowyNw_DO""}","{""ImportId"":""BL_4IWtVM8ka9aWasC_DO""}"
1,100,155,1,preview,EN,NA,5,1,NA,4,1,4,3,1,NA,1,NA,NA,NA,NA,3,1,3,6,4,1,2,6,5,3,3,5,3,3,4,5,1,3,NA,3,23,1,6,6,-99,2,-99,NA,NA,NA,4,4,4,3,6,4,4,2,2,4,1,5,5,3,4,3,6,3,1,2,3,4,4,4,1,-99,1,-99,NA,NA,NA,NA,NA,sr_know_intro|sr_know2|sr_know1,test_know_intro|QID47|test_know3|test_know1|test_know10|QID41|QID45|QID46|test_know5|test_know11|QID48|test_know2,se_intro1|se_test1|se_test2|se_intro2|se12|se9|se2|se5|se1|se11|se6|se10|se3|se4|se8|se7,gender|age|edu|ac1|employ,sys_trust_intro|sys_trust7|sys_trust2|sys_trust10|sys_trust12|sys_trust3|sys_trust8|sys_trust9|sys_trust5|sys_trust1|sys_trust4|sys_trust11|sys_trust6,sym_trust_into|symb_trust2|symb_trust1|symb_trust5|QID91|symb_trust4|symb_trust3,sa_intro|sa4|sa3|sa1|ac2|sa6|sa2|sa5
0,100,663,1,anonymous,DE,4,3,1,testtes,3,2,4,4,1,NA,3,NA,NA,NA,NA,4,2,7,7,-99,1,7,6,7,-99,6,5,7,-99,4,-99,-99,4,NA,4,23,1,4,7,-99,2,-99,1,1,2,3,5,5,6,1,7,4,6,7,3,6,7,5,3,3,6,4,2,1,2,3,4,2,5,1,-99,2,-99,NA,NA,FL_28|BL_8CjomLInAOVrQLs,NA,NA,sr_know_intro|sr_know2|sr_know1,test_know_intro|test_know2|test_know1|test_know11|test_know3|test_know5|test_know10,se_intro1|se_test1|se_test2|se_intro2|se8|se6|se2|se10|se12|ac3|se9|se3|se11|se1|se5|se7|se4,gender|age|edu|ac1|employ|SHD|ExpertisePrivacyCS|ExperienceAR|ExpertiseSMD,sys_trust_intro|sys_trust11|sys_trust8|sys_trust12|sys_trust1|sys_trust5|sys_trust4|sys_trust6|sys_trust3|sys_trust9|sys_trust10|sys_trust2|sys_trust7,sym_trust_into|symb_trust5|symb_trust3|symb_trust4|symb_trust2|symb_trust1,sa_intro|sa3|sa2|sa4|sa5|sa6|sa1|ac2
0,100,8167,1,anonymous,DE,4,3,1,IT07ND8,3,3,"1,2,3","3,4",4,NA,"1,2,4",NA,NA,NA,NA,"1,4","3,4",7,2,-99,3,5,6,2,2,5,6,6,6,4,7,6,1,NA,1,25,1,6,4,-99,2,-99,2,3,1,1,2,1,1,1,2,3,7,1,5,2,5,1,1,1,1,1,2,4,5,4,3,4,5,2,App 2x aufgehangen,2,Testlauf,NA,NA,BL_8CjomLInAOVrQLs|FL_28,NA,NA,sr_know_intro|sr_know1|sr_know2,test_know_intro|test_know5|test_know10|test_know2|test_know3|test_know1|test_know11,se_intro1|se_test1|se_test2|se_intro2|se6|se3|se12|se4|se5|se10|se11|se9|se7|se2|se1|se8|ac3,employ|ac1|age|edu|gender|SHD|ExpertisePrivacyCS|ExpertiseSMD|ExperienceAR,sys_trust_intro|sys_trust12|sys_trust10|sys_trust4|sys_trust7|sys_trust5|sys_trust11|sys_trust9|sys_trust3|sys_trust2|sys_trust6|sys_trust1|sys_trust8,sym_trust_into|symb_trust1|symb_trust4|symb_trust2|symb_trust3|symb_trust5,sa_intro|sa1|sa4|sa3|sa6|sa5|ac2|sa2
0,100,3390,1,anonymous,DE,1,4,1,ON14KE1,2,2,"1,2,3","3,4",4,NA,"1,2,4",NA,NA,NA,NA,"1,4","3,4",7,5,-99,4,5,5,4,4,5,3,3,3,5,6,4,1,NA,1,32,1,7,4,-99,2,-99,2,3,1,3,4,2,2,2,3,3,4,5,3,3,6,3,3,3,3,1,4,4,3,3,4,3,5,2,Aufgabe mit Geräteverifizierung konnte nicht abgeschlossen werden,2,Probedurchlauf,NA,NA,FL_28|BL_8CjomLInAOVrQLs,NA,NA,sr_know_intro|sr_know1|sr_know2,test_know_intro|test_know11|test_know10|test_know5|test_know2|test_know3|test_know1,se_intro1|se_test1|se_test2|se_intro2|ac3|se10|se6|se9|se2|se11|se7|se5|se1|se12|se4|se3|se8,age|edu|ac1|employ|gender|SHD|ExpertisePrivacyCS|ExpertiseSMD|ExperienceAR,sys_trust_intro|sys_trust4|sys_trust7|sys_trust12|sys_trust3|sys_trust6|sys_trust9|sys_trust11|sys_trust8|sys_trust5|sys_trust1|sys_trust10|sys_trust2,sym_trust_into|symb_trust1|symb_trust4|symb_trust2|symb_trust3|symb_trust5,sa_intro|sa2|sa6|sa4|ac2|sa3|sa5|sa1
0,100,2591,1,anonymous,DE,1,5,1,NZ29RF0,4,2,"1,2,3","3,4","4,5",NA,"1,2,4",NA,NA,NA,NA,"1,4","3,4",7,1,-99,7,7,6,6,4,7,5,7,6,7,7,6,1,NA,2,23,1,6,4,-99,1,Fire TV Stick mit Alexa,1,1,1,1,5,2,1,1,3,3,7,2,3,1,4,1,1,2,2,1,5,5,4,5,5,4,5,2,"Es gab nicht die Bedingung 5, habe stattdessen ""None"" zugeordnet",2,Der Fachwissenfrageborgen wurde als schwer für Laien eingeschätzt.,NA,NA,NA,NA,NA,sr_know_intro|sr_know2|sr_know1,test_know_intro|test_know11|test_know3|test_know1|test_know2|test_know5|test_know10,se_intro1|se_test1|se_test2|se_intro2|se4|ac3|se11|se5|se8|se7|se2|se12|se6|se9|se10|se1|se3,ac1|age|employ|gender|edu|SHD|ExpertisePrivacyCS|ExpertiseSMD|ExperienceAR,sys_trust_intro|sys_trust9|sys_trust2|sys_trust6|sys_trust3|sys_trust5|sys_trust7|sys_trust12|sys_trust8|sys_trust4|sys_trust10|sys_trust11|sys_trust1,sym_trust_into|symb_trust3|symb_trust4|symb_trust5|symb_trust1|symb_trust2,sa_intro|sa6|sa2|sa4|sa3|sa5|ac2|sa1
0,100,3775,1,anonymous,DE,1,5,1,EA18LD9,2,1,"1,2,3","3,4",4,NA,"1,2",NA,NA,NA,NA,"1,4","3,4",7,2,-99,3,6,4,3,2,4,1,7,4,7,5,5,1,NA,2,24,1,7,4,-99,2,-99,2,3,1,3,6,2,5,3,5,4,6,5,6,3,6,2,2,3,2,2,3,4,3,2,2,1,5,2,"Die 5. Bedingung wurde nicht angezeigt, stattdessen habe ich jetzt ""None"" zugewiesen. Der QR-Code vom Fenstersensor konnte nicht richtig gescannt werden - ich habe dabei geholfen und dann hat es geklappt.",1,-99,NA,NA,NA,NA,NA,sr_know_intro|sr_know2|sr_know1,test_know_intro|test_know10|test_know2|test_know3|test_know5|test_know11|test_know1,se_intro1|se_test1|se_test2|se_intro2|ac3|se5|se10|se3|se1|se4|se2|se7|se9|se11|se8|se6|se12,age|gender|edu|ac1|employ|SHD|ExpertiseSMD|ExperienceAR|ExpertisePrivacyCS,sys_trust_intro|sys_trust8|sys_trust2|sys_trust7|sys_trust11|sys_trust3|sys_trust6|sys_trust10|sys_trust5|sys_trust4|sys_trust9|sys_trust1|sys_trust12,sym_trust_into|symb_trust5|symb_trust1|symb_trust3|symb_trust4|symb_trust2,sa_intro|ac2|sa1|sa2|sa5|sa6|sa4|sa3
0,100,3502,1,anonymous,DE,1,5,1,AN17EN1,2,2,"1,2,3","3,4",4,"1,4",3,4,"1,2",3,"1,2,3",1,"3,4",7,4,-99,5,4,5,3,3,5,3,4,3,6,5,3,1,NA,2,22,1,6,4,-99,1,"Haustürkamera, Waage",2,3,2,2,3,3,3,3,3,4,5,3,5,3,5,3,3,3,3,3,3,3,2,2,3,2,5,2,"Die letzte Aufgabe konnte nicht bearbeitet werden. App hat sich aufgehangen. Wurde dann ""übersprungen"" - unklar, ob doch beendet.",2,Unklar ob die Aufgabe haptisch am Gerät erledigt werden sollte oder in der App.,NA,NA,NA,Demographie|FL_17,SymbolTrust|PerceivedKnowledge|Self-Efficacy|TestedKnowledge|SystemTrust|SafetyAttitude,sr_know_intro|sr_know1|sr_know2,test_know_intro|test_know1|test_know3|test_know11|test_know8|test_know4|test_know7|test_know5|test_know2|test_know9|test_know6|test_know10,se_intro1|se_test1|se_test2|se_intro2|se2|se5|se10|se4|ac3|se7|se11|se9|se3|se12|se6|se1|se8,employ|edu|gender|age|ac1|SHD|ExperienceAR|ExpertisePrivacyCS|ExpertiseSMD,sys_trust_intro|sys_trust11|sys_trust10|sys_trust7|sys_trust12|sys_trust2|sys_trust1|sys_trust6|sys_trust8|sys_trust3|sys_trust5|sys_trust4|sys_trust9,sym_trust_into|symb_trust4|symb_trust3|symb_trust1|symb_trust5|symb_trust2,sa_intro|sa6|sa5|sa3|sa1|ac2|sa2|sa4
0,100,184,1,anonymous,DE,1,5,1,TEST!!!,2,3,2,3,5,1,3,2,4,4,2,1,4,7,7,-99,7,2,3,5,6,2,3,6,5,3,6,2,1,NA,2,22,1,3,1,-99,2,-99,1,1,1,6,6,6,5,3,3,3,2,5,4,5,5,2,5,5,5,6,4,4,3,2,4,2,4,2,Die vorherige Probandin hat den Fragebogen vor dem Experiment und nicht nachher ausgefüllt,2,vorherige Probanden exkludieren.,NA,NA,NA,Demographie|FL_17,TestedKnowledge|SymbolTrust|Self-Efficacy|SafetyAttitude|PerceivedKnowledge|SystemTrust,sr_know_intro|sr_know1|sr_know2,test_know_intro|test_know4|test_know5|test_know7|test_know8|test_know3|test_know11|test_know9|test_know2|test_know1|test_know6|test_know10,se_intro1|se_test1|se_test2|se_intro2|se5|se4|se9|se6|ac3|se7|se2|se8|se12|se3|se11|se10|se1,gender|edu|ac1|employ|age|SHD|ExpertisePrivacyCS|ExpertiseSMD|ExperienceAR,sys_trust_intro|sys_trust9|sys_trust4|sys_trust6|sys_trust1|sys_trust3|sys_trust11|sys_trust2|sys_trust8|sys_trust7|sys_trust12|sys_trust5|sys_trust10,sym_trust_into|symb_trust4|symb_trust2|symb_trust3|symb_trust1|symb_trust5,sa_intro|sa2|sa5|sa4|sa3|sa6|sa1|ac2
